opportunity_id,status,source,buyer,solicitation_number,title,portal_url,posted_date,question_deadline,due_date,delivery_location,estimated_value,primary_products,commodity_terms,fit_score,risk_level,next_action,owner,created_date,last_reviewed,notes
city-of-austin-ifb-8300-dcg1033,awarded,City of Austin,City of Austin,IFB 8300 DCG1033,"Mattresses, box spring sets, and bed frames",,,,,,58000,Twin mattresses; twin box springs; twin frames,mattresses; box springs; bed frames,100,low,Archive as reference contract,,2026-05-13,2026-05-13,Existing public-sector win / reference contract
sam-gov-dept-of-defense-dept-of-the-army-amc-acc-mission-installation-contracting-command-419th-csb-w6qm-micc-ft-drum-w9,no-bid,SAM.gov,DEPT OF DEFENSE DEPT OF THE ARMY AMC ACC MISSION INSTALLATION CONTRACTING COMMAND 419TH CSB W6QM MICC-FT DRUM,W911S226U3137,BED MATTRESS,https://sam.gov/workspace/contract/opp/e80c497959b5457d84182cc1d962a518/view,2026-04-30,,2026-05-07,,,,NAICS 337910; PSC 7210,8,high,No-bid archived,,2026-05-14,2026-05-15,Combined Synopsis/Solicitation; No-bid: past-due (due 2026-05-07); federal MICC scope
sam-gov-homeland-security-department-of-us-coast-guard-sflc-procurement-branch-3-00040-70z04026q60428y00,no-bid,SAM.gov,"HOMELAND SECURITY, DEPARTMENT OF US COAST GUARD SFLC PROCUREMENT BRANCH 3(00040)",70Z04026Q60428Y00,Mattresses,https://sam.gov/workspace/contract/opp/afb0e84267c5486da80af764304e316e/view,2026-04-29,,2026-05-13,"Curtis Bay, MD",,,NAICS 337910; PSC 7210,16,high,No-bid archived,,2026-05-14,2026-05-15,Combined Synopsis/Solicitation; No-bid: past-due (due 2026-05-13); out of vendor delivery geography
sam-gov-dept-of-defense-dept-of-the-army-us-army-corps-of-engineers-engineer-division-mississippi-valley-endist-new-orle,no-bid,SAM.gov,DEPT OF DEFENSE DEPT OF THE ARMY US ARMY CORPS OF ENGINEERS ENGINEER DIVISION MISSISSIPPI VALLEY ENDIST NEW ORLEANS W07V ENDIST NEW ORLEANS,W912P826BA008,2026 Casting Articulated Concrete Mattress (ED-26-015),https://sam.gov/workspace/contract/opp/e1f73ef3e1e4470abfbfb19496c6ec4f/view,2026-05-12,,2026-06-11,"Saint Francisville, LA",,,NAICS 327390; PSC 9390,0,high,No-bid archived,,2026-05-14,2026-05-15,"Solicitation; No-bid: civil engineering concrete erosion mat, not bedding"
sam-gov-dept-of-defense-defense-logistics-agency-dla-aviation-dla-av-richmond-dla-aviation-spe4a726t350a,no-bid,SAM.gov,DEPT OF DEFENSE DEFENSE LOGISTICS AGENCY DLA AVIATION DLA AV RICHMOND DLA AVIATION,SPE4A726T350A,"16--MATTRESS,AIRCRAFT",https://sam.gov/workspace/contract/opp/4228bd5ed1ba498890f806bea1cc2efb/view,2026-05-13,,2026-05-21,,,,NAICS 336413; PSC 16,0,high,No-bid archived,,2026-05-14,2026-05-15,"Combined Synopsis/Solicitation; No-bid: aircraft hardware, not institutional bedding"
sam-gov-veterans-affairs-department-of-veterans-affairs-department-of-network-contract-office-23-36c263-36c26326q0636,no-bid,SAM.gov,"VETERANS AFFAIRS, DEPARTMENT OF VETERANS AFFAIRS, DEPARTMENT OF NETWORK CONTRACT OFFICE 23 (36C263)",36C26326Q0636,Hospital Grade Mattress Inspection Services - STC,https://sam.gov/workspace/contract/opp/4778423c22f74cac99c268fe1823a70c/view,2026-05-08,,2026-05-21,"Saint Cloud, MN",,,NAICS 561210; PSC H299,25,medium,No-bid archived,,2026-05-14,2026-05-15,"Combined Synopsis/Solicitation; No-bid: service-only (inspection contract), not manufacturing"
